title,author,first_publish_year,rating,author_encoded
La casa de los espíritus,Isabel Allende,1982,5.0,17
Breakfast at Tiffany's,Truman Capote,1956,4.0,6
The Giver,Lois Lowry,1993,4.0,7
The Last Battle,C.S. Lewis,1956,5.0,14
The Franchise Affair (Inspector Alan Grant #3),Josephine Tey,1905,4.0,8
Sparkling Cyanide,Agatha Christie,1945,4.0,85
Curtain,Agatha Christie,1975,5.0,85
Eva Luna,Isabel Allende,1987,4.0,17
'Salem’s Lot,Stephen King,1975,4.0,70
The Four Just Men,Edgar Wallace,1905,5.0,5
Ender's Game,Orson Scott Card,1985,5.0,16
The Subtle Knife,Philip Pullman,1997,5.0,13
Perfume,Patrick Süskind,1985,5.0,1
Beloved,Toni Morrison,1987,5.0,10
The Pearl,John Steinbeck,1945,3.55,18
Sleeping Murder,Agatha Christie,1940,4.0,85
Hercule Poirot's Christmas,Agatha Christie,1939,5.0,85
Death in the Clouds,Agatha Christie,1935,5.0,85
Anthem,Ayn Rand,1936,3.61,4
Bridge to Terabithia,Katherine Paterson,1972,4.06,4
The Curious Incident of the Dog in the Night-Time,Mark Haddon,1950,3.89,2
Appointment with Death,Agatha Christie,1938,4.0,85
A Caribbean Mystery,Agatha Christie,1964,4.0,85
Murder in Mesopotamia,Agatha Christie,1936,5.0,85
A Modern Utopia,H. G. Wells,1900,4.0,24
Vol de nuit,Antoine de Saint-Exupéry,1931,5.0,4
The Hollow,Agatha Christie,1946,4.0,85
Justine,Marquis de Sade,1900,5.0,2
One Flew Over the Cuckoo's Nest,Ken Kesey,1962,4.0,2
Five Little Pigs,Agatha Christie,1942,4.0,85
Bulldog Drummond,Herman Cyril McNeile,1919,4.0,2
Ann Veronica,H. G. Wells,1909,4.0,24
Murder in Three Acts,Agatha Christie,1934,5.0,85
The Voyage of the Dawn Treader,C.S. Lewis,1952,4.0,14
A Farewell to Arms,Ernest Hemingway,1929,3.82,13
Noli Me Tangere,José Rizal,1902,5.0,2
The Gruffalo,Julia Donaldson,1999,5.0,14
Sir Nigel,Arthur Conan Doyle,1906,4.0,24
Misery,Stephen King,1978,4.23,70
Nemesis,Agatha Christie,1970,5.0,85
Elephants Can Remember,Agatha Christie,1969,5.0,85
"One, Two, Buckle My Shoe",Agatha Christie,1940,4.0,85
Cards on the Table,Agatha Christie,1936,5.0,85
The Color Purple,Alice Walker,1976,4.27,2
La nausée,Jean-Paul Sartre,1938,4.0,1
Dawn,Eleanor Hodgman Porter,1919,4.0,4
Watership Down,Richard Adams,1972,5.0,3
Foundation,Isaac Asimov,1951,5.0,25
Jamaica Inn,Daphne du Maurier,1936,5.0,6
"Danny, The Champion of the World",Roald Dahl,1975,5.0,22
A Pocket Full of Rye,Agatha Christie,1953,5.0,85
Pan,Knut Hamsun,1900,4.0,6
Игрокъ,Фёдор Михайлович Достоевский,1900,5.0,15
Как закалялась сталь,Nikolay Ostrovsky,1936,5.0,1
"I, Robot",Isaac Asimov,1950,5.0,25
Le pont de la rivière kwaï,Pierre Boulle,1952,5.0,2
The Bridge of San Luis Rey,Thornton Wilder,1927,5.0,4
The Shining,Stephen King,1977,5.0,70
The Pillars of the Earth,Ken Follett,1989,5.0,20
It,Stephen King,1925,4.24,70
Ordeal by Innocence,Agatha Christie,1958,4.0,85
The Firm,John Grisham,1991,4.06,31
Amerika,Franz Kafka,1927,4.0,4
Dead Man's Folly,Agatha Christie,1956,4.0,85
The Incredible Journey,Sheila Burnford,1960,5.0,1
Riceyman Steps,Arnold Bennett,1923,4.0,8
The Sound and the Fury,William Faulkner,1929,3.86,12
La sombra del viento,Carlos Ruiz Zafón,2001,5.0,8
The Tale of Benjamin Bunny,Beatrix Potter,1904,4.0,21
Jurassic Park,Michael Crichton,1990,5.0,18
They Came to Baghdad,Agatha Christie,1951,5.0,85
Deception Point,Dan Brown,2001,3.76,6
Oblomov,Ivan Aleksandrovich Goncharov,1913,4.0,2
Things Fall Apart,Chinua Achebe,1958,5.0,4
The Clocks,Agatha Christie,1963,5.0,85
Slaughterhouse-Five,Kurt Vonnegut,1968,4.1,11
Decline and Fall,Evelyn Waugh,1928,5.0,7
Number the Stars,Lois Lowry,1901,4.19,7
The Green Mile,Stephen King,1996,4.48,70
Murder is Easy,Agatha Christie,1939,4.0,85
Little House on the Prairie,Laura Ingalls Wilder,1935,5.0,9
Mother,Максим Горький,1907,4.0,1
The Restaurant at the End of the Universe,Douglas Adams,1980,5.0,8
Dumb Witness,Agatha Christie,1937,4.0,85
Cat Among the Pigeons,Agatha Christie,1959,5.0,85
Penrod,Booth Tarkington,1914,5.0,5
Death of a Salesman,Arthur Miller,1940,3.58,4
East of Eden,John Steinbeck,1952,4.42,18
Pet Sematary,Stephen King,1925,4.08,70
The Blind Assassin,Margaret Atwood,2000,3.96,15
La Fiesta del Chivo,Mario Vargas Llosa,2000,5.0,16
Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,4.09,18
El árbol de la ciencia,Pío Baroja,1911,5.0,1
Third Girl,Agatha Christie,1966,5.0,85
The Clan of the Cave Bear,Jean M. Auel,1900,4.0,6
The Screwtape Letters,C.S. Lewis,1942,4.27,14
Brideshead Revisited,Evelyn Waugh,1945,4.0,7
Major Barbara,George Bernard Shaw,1909,4.0,3
Bonjour tristesse,Françoise Sagan,1954,4.0,3
The Caine mutiny,Herman Wouk,1951,5.0,9
Архипелаг ГУЛАГ,Александр Исаевич Солженицын,1970,4.0,4
New Moon,Stephenie Meyer,2006,5.0,6
Les Bijoux de la Castafiore,Hergé,1939,4.0,20
The Thirteen Problems,Agatha Christie,1932,4.0,85
A tree grows in Brooklyn,Betty Smith,1943,5.0,1
Buddenbrooks,Thomas Mann,1909,5.0,9
The Fixer,Bernard Malamud,1901,5.0,5
The Dead Zone,Stephen King,1979,5.0,70
Dom Casmurro,Joaquim Maria Machado de Assis,1900,5.0,4
A Game of Thrones,George R. R. Martin,1996,4.0,10
The Left Hand of Darkness,Ursula K. Le Guin,1969,4.1,15
The House at Pooh Corner,A. A. Milne,1925,5.0,10
Ranma 1/2,高橋留美子,1992,4.0,1
The Labours of Hercules,Agatha Christie,1947,5.0,85
Mrs. McGinty's Dead,Agatha Christie,1951,5.0,85
Towards Zero,Agatha Christie,1944,4.0,85
Breaking Dawn,Stephenie Meyer,2008,5.0,6
Pantaleón y las visitadoras,Mario Vargas Llosa,1973,5.0,16
Brat Farrar,Josephine Tey,1949,5.0,8
The Good Soldier,Ford Madox Ford,1915,4.0,1
Conversación en La Catedral,Mario Vargas Llosa,1969,4.0,16
Eclipse,Stephenie Meyer,2006,5.0,6
Inuyasha,Rumiko Takahashi,1998,5.0,1
The History of Mr. Polly,H. G. Wells,1900,5.0,24
A Shilling for Candles (Inspector Alan Grant #2),Josephine Tey,1936,4.0,8
The Sittaford Mystery,Agatha Christie,1931,5.0,85
Digital Fortress,Dan Brown,1998,3.7,6
Five on a Treasure Island,Enid Blyton,1942,5.0,38
Death Comes as the End,Agatha Christie,1944,5.0,85
Storm Island,Ken Follett,1978,5.0,20
The Man in the High Castle,Philip K. Dick,1962,4.0,18
The Crucible,Arthur Miller,1953,3.61,4
The Stand,Stephen King,1978,4.35,70
The Runaway Jury,John Grisham,1996,4.0,31
De amor y de sombra,Isabel Allende,1984,4.0,17
The Mysterious Stranger,Mark Twain,1916,5.0,25
Hickory Dickory Death,Agatha Christie,1955,5.0,85
Why Didn't they Ask Evans?,Agatha Christie,1935,4.0,85
Coraline,Neil Gaiman,2002,4.13,15
Como agua para chocolate,Laura Esquivel,1989,5.0,1
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,1967,4.0,3
Novels (The Call of the Wild / White Fang),Jack London,1962,4.0,22
The Once and Future King,T. H. White,1939,4.07,6
Nesnesitelná lehkost bytí,Milan Kundera,1984,4.0,12
When Patty Went to College,Jean Webster,1903,5.0,3
"San Manuel Bueno, mártir",Miguel de Unamuno,1933,4.0,4
A Wizard of Earthsea,Ursula K. Le Guin,1968,5.0,15
Elogio de la madrasta,Mario Vargas Llosa,1988,5.0,16
Catching Fire,Suzanne Collins,2009,5.0,9
Hatchet,Gary Paulsen,1986,5.0,4
La tía Julia y el escribidor,Mario Vargas Llosa,1977,5.0,16
Tale of Mr. Jeremy Fisher,Beatrix Potter,1906,4.0,21
John Barleycorn,Jack London,1913,4.0,22
Tarzan of the Apes Tale #1 the Man-Child,Edgar Rice Burroughs,2002,4.0,30
Cujo,Stephen King,1981,5.0,70
Endless Night,Agatha Christie,1967,5.0,85
The Client,John Grisham,1993,4.0,31
Taken at the Flood,Agatha Christie,1900,4.0,85
Stranger in a Strange Land,Robert A. Heinlein,1961,3.92,28
Alias Grace,Margaret Atwood,1996,4.0,15
Strong Poison,Dorothy L. Sayers,1930,5.0,13
Jane Austen,Louise Ross,1995,5.0,1
The shadow-line,Joseph Conrad,1917,5.0,21
A Time to Kill,John Grisham,1989,5.0,31
El coronel no tiene quien le escriba,Gabriel García Márquez,1961,5.0,13
The Amber Spyglass,Philip Pullman,1999,5.0,13
Second Foundation,Isaac Asimov,1953,5.0,25
My Cousin Rachel,Daphne du Maurier,1900,5.0,6
Tom Sawyer,Mark Twain,1931,5.0,25
Antic Hay,Aldous Huxley,1923,5.0,10
Подросток,Фёдор Михайлович Достоевский,1916,4.0,15
By the Pricking of My Thumbs,Agatha Christie,1968,5.0,85
I Capture the Castle,Dodie Smith,1948,3.99,2
Flowers for Algernon,Daniel Keyes,1966,5.0,1
Dog Days,Jeff Kinney,2004,5.0,12
Ficciones,Jorge Luis Borges,1945,4.41,5
El filibusterismo,José Rizal,1900,5.0,2
Firestarter,Stephen King,1980,4.0,70
The Exorcist,William Peter Blatty,1971,4.0,2
The Outsiders,S. E. Hinton,1967,4.14,2
The Lightning Thief,Rick Riordan,2005,5.0,18
Hornblower in the West Indies,C. S. Forester,1958,4.0,5
Kane & Abel,Jeffrey Archer,1979,5.0,24
Sad Cypress,Agatha Christie,1939,4.0,85
Otoño Del Patriarca,Gabriel García Márquez,1973,4.0,13
Life of Pi,Yann Martel,2001,3.94,2
The Drawing of the Three,Stephen King,1987,4.0,70
The Red Pony,John Steinbeck,1937,4.0,18
The Song of the Lark,Willa Cather,1915,5.0,9
The Magic Finger,Roald Dahl,1966,5.0,22
The Chessmen of Mars,Edgar Rice Burroughs,1922,5.0,30
The Bad Beginning,Lemony Snicket,1999,5.0,14
A Passage to India,Edward Morgan Forster,1924,5.0,7
The  elephant's child,Rudyard Kipling,1900,4.0,21
Clouds of Witness,Dorothy L. Sayers,1926,4.0,13
Hija de la fortuna,Isabel Allende,1998,5.0,17
The Chamber,John Grisham,1994,5.0,31
Mockingjay,Suzanne Collins,2010,5.0,9
The Man in the Queue (Inspector Alan Grant #1),Josephine Tey,1927,4.0,8
The Fault in Our Stars,John Green,2010,4.13,6
Interview With the Vampire,Anne Rice,1976,4.0,23
An Occurrence at Owl Creek Bridge,Ambrose Bierce,1980,4.0,8
A Dream of John Ball,William Morris,1908,4.0,3
Jennie Gerhardt,Theodore Dreiser,1911,5.0,4
Herzog,Saul Bellow,1961,5.0,7
Diary of a provincial lady,E. M. Delafield,1930,5.0,1
Nada,Carmen Laforet,1945,4.0,1
Our Man in Havana,Graham Greene,1958,5.0,20
Los de abajo,Mariano Azuela,1927,4.0,1
La mala hora,Gabriel García Márquez,1962,5.0,13
Destination Unknown,Agatha Christie,1954,4.0,85
Madeleine,Ludwig Bemelmans,1920,4.0,5
Bag of Bones,Stephen King,1998,5.0,70
The sword in the stone,T. H. White,1938,4.0,6
Astérix le Gaulois,René Goscinny,1961,4.0,17
Native Son,Richard Wright,1940,4.03,1
"So long, and thanks for all the fish",Douglas Adams,1984,4.0,8
Flowers in the Attic,V. C. Andrews,1979,4.0,25
La tía Tula,Miguel de Unamuno,1921,4.0,4
The Assistant,Bernard Malamud,1957,5.0,5
Good Omens,Neil Gaiman,1990,5.0,15
Postern of Fate,Agatha Christie,1973,5.0,85
Partners in Crime,Agatha Christie,1963,5.0,85
The Runaway Bunny,Margaret Wise Brown,1942,4.0,7
The Price of Salt,Patricia Highsmith,1952,4.0,12
Men Like Gods,H. G. Wells,1923,5.0,24
Das Glasperlenspiel. Sonderausgabe,Hermann Hesse,1943,4.0,11
Skeleton crew,Stephen King,1985,4.0,70
Gaudy night,Dorothy L. Sayers,1935,4.0,13
The Partner,John Grisham,1997,4.0,31
Brighton rock,Graham Greene,1938,4.0,20
American Gods,Neil Gaiman,2001,4.11,15
The Martian,Andy Weir,2011,4.42,3
The Scarlet Plague,Jack London,1910,5.0,22
Green mansions,W. H. Hudson,1900,5.0,1
Childhood’s End,Arthur C. Clarke,1953,5.0,12
Voyage au bout de la nuit,Louis-Ferdinand Celine,1932,5.0,2
The Red House Mystery,A. A. Milne,1922,5.0,10
Retrato en sepia,Isabel Allende,2000,4.0,17
Midnight's Children,Salman Rushdie,1981,5.0,11
Memoirs of a Geisha,Arthur Golden,1997,4.16,1
Island of the Blue Dolphins,Scott O'Dell,1960,3.87,4
Captain Corelli's Mandolin,Louis de Bernières,1994,5.0,4
Lituma en los Andes,Mario Vargas Llosa,1993,4.0,16
"The tale of Samuel Whiskers, or, The roly-poly pudding",Beatrix Potter,1900,4.0,21
Os Maias,Eça de Queiroz,1900,5.0,7
Radetzkymarsch,Joseph Roth,1932,4.0,5
The Virginian,Owen Wister,1902,5.0,1
South Sea Tales,Jack London,1911,4.0,22
The Girl Who Loved Tom Gordon,Stephen King,1999,4.0,70
The War Chief,Edgar Rice Burroughs,1927,4.0,30
The Tailor of Gloucester,Beatrix Potter,1903,4.0,21
The Talented Mr. Ripley,Patricia Highsmith,1955,5.0,12
The Waste Lands,Stephen King,1991,5.0,70
"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1976,5.0,3
The Dispossessed,Ursula K. Le Guin,1974,5.0,15
Wizard and Glass,Stephen King,1997,4.0,70
