title,author,first_publish_year,rating,author_encoded
Judy Moody was in a Mood,Megan McDonald,2000,5.0,12
The death of the heart,Elizabeth Bowen,1938,4.0,2
A Death in the Family,James Agee,1957,4.0,2
A star called Henry,Roddy Doyle,1999,5.0,3
La nuit du carrefour,Georges Simenon,1931,4.0,45
This is the bear,Sarah Hayes,1986,4.0,1
The Sheltering Sky,Paul Bowles,1948,5.0,1
A Glass of Blessings,Barbara Pym,1958,5.0,4
Il castello di Zampaciccia Zanzamiao,Elisabetta Dami,2000,5.0,33
The Hundred Secret Senses,Amy Tan,1995,5.0,4
Strangers in death,Nora Roberts,2008,4.0,89
The Tale of the Body Thief,Anne Rice,1992,4.0,23
The Taking,Dean Koontz,2004,5.0,48
Deliverance,James Dickey,1970,5.0,1
金閣寺,三島由紀夫,1956,5.0,3
На Дрини ћуприја (Na Drini ćuprija),Ivo Andrić,1959,5.0,1
Proof,Dick Francis,1984,4.0,24
A Suitable Boy,Vikram Seth,1993,4.0,1
The river,Rumer Godden,1946,5.0,6
Bedtime for Frances,Russell Hoban,1960,5.0,8
Sons of Fortune,Jeffrey Archer,2002,5.0,24
The Given Day,Dennis Lehane,1999,4.0,13
Blue gold,Clive Cussler,2000,4.0,35
The charm school,Nelson De Mille,1988,4.0,16
ねじまき鳥クロニクル,村上春樹,1997,4.0,13
Angels Fall,Nora Roberts,2006,5.0,89
Tikki Tikki Tembo,Arlene Mosel,1968,5.0,1
Ticktock,Dean Koontz,1996,5.0,48
This Year Will Be Different,Maeve Binchy,1996,4.0,19
El sol de Breda,Arturo Pérez-Reverte,1998,5.0,14
The Ionian Mission,Patrick O'Brian,1981,5.0,21
Laddie,Gene Stratton-Porter,1913,4.0,6
A Little Life,Hanya Yanagihara,2015,4.3,1
Huasipungo,Jorge Icaza,1934,5.0,1
False Impression,Jeffrey Archer,2005,5.0,24
First Term at Malory Towers,Enid Blyton,1967,5.0,38
The Book of Wonder,Lord Dunsany,1912,5.0,2
The Demon Lover (Chivers Sound Library),Victoria Holt,1982,4.0,23
Der satanarchäolygenialkohöllische Wunschpunsch,Michael Ende,1989,5.0,3
A paixão segundo G.H.,Хая Пінкасівна Ліспектор,1964,4.0,1
The fur person,May Sarton,1957,5.0,2
The Institute,Stephen King,2019,5.0,70
"Encyclopedia Brown, Boy Detective",Leonard Shortall,1963,5.0,1
羊をめぐる冒険,村上春樹,1982,4.0,13
The dot,Peter H. Reynolds,2003,4.0,2
The Cuckoo's Calling,J. K. Rowling,2013,4.0,14
Captain Underpants And The Revolting Revenge Of The Radioactive Roboboxers,Dav Pilkey,2013,5.0,22
The Egypt game,Zilpha Keatley Snyder,1967,5.0,1
A separate peace,John Knowles,1959,5.0,2
Forever Odd,Dean Koontz,2005,4.0,48
"Thank you, Jeeves",P. G. Wodehouse,1934,5.0,32
The Miraculous Journey of Edward Tulane,Kate DiCamillo,2000,5.0,6
The Castle Corona,Sharon Creech,2007,5.0,5
The burden of proof,Scott Turow,1990,5.0,3
The Adventures of Sally,P. G. Wodehouse,1922,5.0,32
National Velvet,"Bagnold, Enid.",1900,4.0,1
Nightbirds on Nantucket (Wolves #3),Joan Aiken,1966,5.0,3
The Roman spring of Mrs. Stone,Tennessee Williams,1950,4.0,3
Stink,Megan McDonald,2001,4.0,12
Big Trouble,Dave Barry,1999,4.0,2
Where the heart is,Billie Letts,1995,4.0,1
The Reluctant Fundamentalist,Mohsin Hamid,2007,5.0,2
Legacy,Greg Bear,1960,4.0,14
Mrs Craddock,William Somerset Maugham,1902,4.0,13
Absent in the Spring,Agatha Christie,1944,5.0,85
The historical nights' entertainment,Rafael Sabatini,1917,4.0,5
Die Aufzeichnungen des Malte Laurids Brigge,Rainer Maria Rilke,1910,5.0,1
Veranilda,George Gissing,1904,5.0,8
Morality for beautiful girls,Alexander McCall Smith,2001,5.0,13
Envy,Sandra Brown,2001,5.0,43
American Tabloid,James Ellroy,1995,4.0,9
"Pancakes, pancakes!",Eric Carle,1970,5.0,16
What the Ladybird Heard,Julia Donaldson,2001,4.0,14
ElfQuest,Wendy Pini,1981,5.0,1
El amante japonés,Isabel Allende,2000,4.0,17
Jailbird,Kurt Vonnegut,1979,5.0,11
The best man to die,Ruth Rendell,1969,5.0,18
Le Roi de fer,Maurice Druon,1955,4.0,1
The adventures of Augie March,Saul Bellow,1953,4.0,7
The Black Stallion Returns,Walter Farley,1945,5.0,2
Love That Dog,Sharon Creech,2001,4.0,5
Sammy the Seal,Syd Hoff,1959,5.0,3
Pacific Vortex!,Clive Cussler,1982,5.0,35
To the Last Man,Zane Grey,1921,5.0,8
The Return Journey,Maeve Binchy,1998,4.0,19
The Head of Kay's,P. G. Wodehouse,1922,4.0,32
Quattro topi nella giungla nera,Elisabetta Dami,2003,5.0,33
Blood Brothers,Nora Roberts,1982,5.0,89
The Autograph Man,Zadie Smith,2002,4.0,5
The Fortune of War,Patrick O'Brian,1979,5.0,21
From dead to worse,Charlaine Harris,2008,5.0,15
Revival,Stephen King,2014,4.0,70
"Flow my tears, the policeman said",Philip K. Dick,1974,4.0,18
Faith of the Fallen,Terry Goodkind,2000,4.0,12
The Other Woman,Joy Fielding,1982,4.0,5
Limpieza de sangre,Arturo Pérez-Reverte,1997,5.0,14
Damals war es Friedrich,Hans Peter Richter,1963,4.0,1
The Entropy Effect,Vonda N. McIntyre,1981,4.0,1
Die Vermessung der Welt,Daniel Kehlmann,2005,5.0,1
Black Plumes,Margery Allingham,1940,4.0,14
"Year of Magical Thinking, The",Joan Didion,2005,4.0,2
Last Ditch,Ngaio Marsh,1976,5.0,22
Mon ami Maigret,Georges Simenon,1949,4.0,45
Spot goes to school,Eric Hill,1984,4.0,2
Growing Vegetable Soup,Lois Ehlert,1987,4.0,1
The snow goose,Paul Gallico,1940,5.0,1
Southern Lights,Danielle Steel,2009,5.0,30
Alcatraz versus the Evil Librarians,Brandon Sanderson,2007,4.0,13
La tête d'un homme,Georges Simenon,1931,4.0,45
Un Noël De Maigret,Georges Simenon,1951,4.0,45
Shame,Salman Rushdie,1983,5.0,11
Emperor,Conn Iggulden,2003,5.0,1
Flickan som lekte med elden,Stieg Larsson,2006,5.0,3
Paper Money,Ken Follett,1977,4.0,20
A grain of wheat,Ngũgĩ wa Thiongʼo,1967,4.0,4
The tenants,Bernard Malamud,1971,5.0,5
The Human Stain,Philip Roth,2000,4.0,8
Psycho,Robert Bloch,1959,4.0,1
The Memory Keeper's Daughter,Kim Edwards,2005,3.7,1
Burning Bright,John Steinbeck,1950,4.0,18
Pawn of Prophecy,David Eddings,1982,5.0,2
Sogljadataj,Vladimir Nabokov,1965,5.0,13
The Bookshop,Penelope Fitzgerald,1978,4.0,2
The Hero of Ages,Brandon Sanderson,2008,5.0,13
Lincoln (Narratives of a Golden Age),Gore Vidal,1984,4.0,5
Gardens of the Moon,Steven Erikson,1999,5.0,2
Slow heat in heaven,Sandra Brown,1988,5.0,43
Cycle of the Werewolf,Stephen King,1983,5.0,70
Sharpe's battle,Bernard Cornwell,1995,4.0,27
The Big Clock,Kenneth Fearing,1946,4.0,1
Reign Of Law,James Allen,1900,4.0,2
The thirteen-gun salute,Patrick O'Brian,1989,5.0,21
Hyperion,Dan Simmons,1989,4.0,3
"Tales from Earthsea (The Earthsea Cycle, Book 5)",Ursula K. Le Guin,2001,5.0,15
Det osynliga barnet och andra berättelser,Tove Jansson,1963,5.0,9
The Hit,David Baldacci,2013,5.0,36
Grendel,John Gardner,1971,4.0,1
We the living,Ayn Rand,1936,4.0,4
The Rowan,Anne McCaffrey,1990,5.0,25
Earth is Room Enough,Isaac Asimov,1957,5.0,25
You've Been Warned,James Patterson,2007,4.0,101
Burr,Gore Vidal,1973,5.0,5
The children of Green Knowe,Lucy M. Boston,1954,4.0,3
Royal Flash,George MacDonald Fraser,1970,4.0,6
Eleanor & Park,Rainbow Rowell,2012,3.93,1
Treason's Harbour,Patrick O'Brian,1983,5.0,21
The Boys from Brazil,Ira Levin,1976,4.0,4
The Way of Kings,Brandon Sanderson,2010,5.0,13
Creation in Death,Nora Roberts,2007,5.0,89
Feed,M. T. Anderson,2002,4.0,1
Gregor and the Curse of the Warmbloods,Suzanne Collins,2005,5.0,9
Afternoon on the Amazon,Mary Pope Osborne,1995,5.0,28
Good Night Gorilla,Peggy Rathmann,1994,5.0,2
Wayside School is Falling Down (Wayside School #2),Louis Sachar,1989,5.0,6
Rising Storm,Erin Hunter,2004,5.0,5
A single shard,Linda Sue Park,2001,5.0,2
Dancers in Mourning,Margery Allingham,1935,5.0,14
El Buen Nombre (Lingua Franca),Jhumpa Lahiri,2003,4.0,4
A Long Walk to Water( Linda Sue Park),Linda Sue Park,2008,5.0,2
Gregor and the Prophecy of Bane,Suzanne Collins,2004,5.0,9
A Court of Thorns and Roses,Sarah J. Maas,2015,5.0,11
Just David,Eleanor Hodgman Porter,1916,5.0,4
High Citadel,Desmond Bagley,1965,5.0,3
A Stab in the Dark,Lawrence Block,1981,4.0,13
The Grim Smile of the Five Towns,Arnold Bennett,1907,4.0,8
"Loves Music, Loves to Dance",Mary Higgins Clark,1991,4.0,20
The swords of Lankhmar,Fritz Leiber,1968,4.0,10
The One (The Selection #3),Kiera Cass,2012,5.0,4
Prince Cinders,Babette Cole,1987,5.0,1
The Bastard,John Jakes,1974,4.0,1
Blood Canticle,Anne Rice,2003,4.0,23
De man die even wilde afrekenen,Maj Sjöwall,1970,4.0,10
Fat Tuesday,Sandra Brown,1984,4.0,43
Caught,Harlan Coben,2010,5.0,16
The Lantern Bearers,Rosemary Sutcliff,1959,5.0,4
The drowning pool,Ross Macdonald,1950,4.0,3
American Pastoral,Philip A. Roth,1997,5.0,5
The Little White Horse,Elizabeth Goudge,1920,4.0,1
Olivia,Dorothy Bussy,1949,5.0,1
The manticore,Robertson Davies,1972,4.0,6
El reino de este mundo,Alejo Carpentier,1964,4.0,2
Two symphonies,André Gide,1931,4.0,3
Peter Abelard,Helen Waddell,1933,4.0,1
When Zachary Beaver Came to Town,Kimberly Willis Holt,1999,5.0,1
Il Fantasma del Metrò,Elisabetta Dami,2000,5.0,33
People of the book,Geraldine Brooks,1991,4.0,3
Memnoch the Devil,Anne Rice,1995,4.0,23
Black As He's Painted,Ngaio Marsh,1974,5.0,22
Wizard At Large,Terry Brooks,1988,4.0,14
Key of Valour,Nora Roberts,2003,4.0,89
The adventures of Super Diaper Baby,Dav Pilkey,2002,5.0,22
Up country,Nelson De Mille,2001,5.0,16
The angel of darkness,Caleb Carr,1997,5.0,2
Amsterdam,Ian McEwan,1998,4.0,12
The Mirror and the Light,Hilary Mantel,2020,5.0,6
"The Capture (Guardians of Ga'Hoole, Book 1)",Kathryn Lasky,1987,5.0,2
The original adventures of Hank the Cowdog,John R. Erickson,1983,5.0,2
Grand avenue,Joy Fielding,2001,4.0,5
Whispers and lies,Joy Fielding,2002,5.0,5
The Chase,Clive Cussler,2007,4.0,35
Chinese Cinderella,Adeline Yen Mah,1999,5.0,1
Vampire Academy,Richelle Mead,2007,5.0,1
The Crush,Sandra Brown,2002,5.0,43
ダンス・ダンス・ダンス,村上春樹,1985,4.0,13
A drink before the war,Dennis Lehane,1994,4.0,13
The Last of the Plainsmen,Zane Grey,1908,5.0,8
Robot Dreams [21 short stories],Isaac Asimov,1986,5.0,25
Monkey Puzzle,Julia Donaldson,2000,5.0,14
Le cosmicomiche,Italo Calvino,1965,5.0,8
The coldest winter ever,Sister Souljah,1999,5.0,1
Storia di chi fugge e di chi resta,Elena Ferrante,2000,4.0,7
Franklin says I love you,Paulette Bourgeois,1997,5.0,14
Una granita di mosche per il Conte,Elisabetta Dami,2000,5.0,33
Short Stories (Murders in the Rue Morgue / Mystery of Marie Roget / Purloined Letter),Edgar Allan Poe,1992,5.0,14
Artists in Crime,Ngaio Marsh,1938,4.0,22
Die Teufelin. Großdruck. Roman,Fay Weldon,1983,4.0,1
Shane,Jack Schaefer,1920,4.0,1
White Noise,Don DeLillo,1984,4.0,1
Robert Ludlum's The Lazarus vendetta,Patrick Larkin,2004,4.0,1
The Cat Who Went to Heaven,Elizabeth Jane Coatsworth,1930,4.0,1
"Ten, nine, eight",Molly Bang,1982,4.0,1
A complicated kindness,Miriam Toews,2004,4.0,1
Labyrinths,Jorge Luis Borges,1962,5.0,5
The little drummer girl,John le Carré,1983,4.0,16
Birds Without Wings,Louis de Bernières,2004,4.0,4
Henry And Mudge In The Sparkle Days,Cynthia Rylant,1988,5.0,4
Il Codice del Drago,Elisabetta Dami,2005,4.0,33
The Valley of Adventure,Enid Blyton,1947,5.0,38
Brave New World and Brave New World Revisited,Aldous Huxley,1942,5.0,10
Legends,Robert Silverberg,1998,5.0,8
Lady into fox,David Garnett,1922,5.0,1
Di brider Ashkenazi,Israel Joshua Singer,1936,5.0,1
"Aurora dawn, or, The true history of Andrew Reale",Herman Wouk,1947,5.0,9
Judy Moody,Megan McDonald,2006,5.0,12
Pimp,Iceberg Slim,1967,5.0,1
Mama,Terry McMillan,1987,5.0,2
Majipoor Chronicles,Robert Silverberg,1982,4.0,8
La solitudine dei numeri primi,Paolo Giordano,2008,4.0,1
La neige était sale,Georges Simenon,1948,4.0,45
Yukiguni,川端康成,1937,5.0,1
The star beast,Robert A. Heinlein,1954,4.0,28
世界の終りとハードボイルド・ワンダーランド,村上春樹,1985,4.0,13
The Space Merchants,Frederik Pohl,1952,4.0,3
Space Cadet,Robert A. Heinlein,1948,4.0,28
La Folle de Maigret,Georges Simenon,1970,5.0,45
Gone tomorrow,Lee Child,2008,5.0,24
The Glass Palace,Amitav Ghosh,2000,5.0,4
Tears of the Moon,Nora Roberts,2000,4.0,89
London Transports,Maeve Binchy,1980,4.0,19
Tales from the Perilous Realm,J.R.R. Tolkien,1993,4.0,14
House Divided,Pearl S. Buck,1935,4.0,14
Black Sheep,Georgette Heyer,1966,5.0,23
Monsignor Quixote,Graham Greene,1982,4.0,20
Breakfast of Champions,Kurt Vonnegut,1973,4.06,11
Chocky,John Wyndham,1968,5.0,5
Jubilee,Margaret Walker,1966,5.0,1
Left Behind,Tim F. LaHaye,1995,4.0,1
The twelve,Justin Cronin,2012,4.0,2
All-of-a-Kind Family,Sydney Taylor,1951,5.0,1
Lion in the valley,Elizabeth Peters,1986,5.0,3
Darkest Hour,V. C. Andrews,1993,5.0,25
Joyland,Stephen King,2011,4.0,70
Billy Bathgate M/TV,E. L. Doctorow,1989,5.0,1
Grimus,Salman Rushdie,1975,4.0,11
Enduring Love,Ian McEwan,1984,5.0,12
Beyaz kale,Orhan Pamuk,1985,5.0,6
The Thousand Autumns of Jacob de Zoet,David Mitchell,2010,5.0,3
This Present Darkness,Frank E. Peretti,1986,4.0,2
"I, Alex Cross",James Patterson,2007,4.0,101
There's a nightmare in my cupboard,Mercer Mayer,1968,5.0,1
Hidden Jewel,V. C. Andrews,1995,5.0,25
A treasure worth seeking,Sandra Brown,1982,4.0,43
The Invasion,Katherine Applegate,1996,5.0,9
Kill Alex Cross,James Patterson,2011,5.0,101
Trading Up,Candace Bushnell,2002,4.0,7
Triss (Redwall #15),Brian Jacques,2002,5.0,15
Two Little Girls in Blue,Mary Higgins Clark,2006,5.0,20
The river between,Ngũgĩ wa Thiongʼo,1965,5.0,4
Around the World in 80 Days,Jules Verne,1988,5.0,11
Ceremony in Death,Nora Roberts,1997,5.0,89
The last precinct,Patricia Cornwell,2000,5.0,3
The man from Glengarry,Ralph Connor,1901,4.0,1
Tales of Mystery and Imagination [29 stories],Edgar Allan Poe,1902,5.0,14
The Sword of Summer,Rick Riordan,2015,5.0,18
Too Much Happiness,Alice Munro,2009,4.0,11
In the Hand of the Goddess,Tamora Pierce,1984,4.0,9
To Ride Pegasus (The Talent #1),Anne McCaffrey,1973,5.0,25
The Death Committee,Noah Gordon,1969,4.0,4
Icebound,Dean Koontz,1976,5.0,48
Герой нашего времени,Михаил Юрьевич Лермонтов,1916,5.0,1
Maximum Bob,Elmore Leonard,1991,4.0,19
The Blood of Olympus,Rick Riordan,2001,5.0,18
Captain Underpants and the Sensational Saga of Sir Stinks-A-Lot,Dav Pilkey,2015,5.0,22
The Cat in the Hat Comes Back,Dr. Seuss,1958,4.0,16
How to Catch a Star,Oliver Jeffers,2004,4.0,3
The view from Saturday,E. L. Konigsburg,1996,4.0,2
The First Four Years,Laura Ingalls Wilder,1953,5.0,9
Slippery Slope,Lemony Snicket,2003,5.0,14
Understood Betsy,Dorothy Canfield Fisher,1917,4.0,1
Bringing the rain to Kapiti Plain,Verna Aardema,1981,4.0,2
Black Hearts in Battersea (Wolves #2),Joan Aiken,1940,4.0,3
Someone Like You [18 stories],Roald Dahl,1953,4.0,22
Walking,Henry David Thoreau,1914,4.0,3
Best Kept Secret,Jeffrey Archer,2001,5.0,24
King Arthur and His Knights of the Round Table,Roger Lancelyn Green,1953,4.0,3
The Werewolf of Fever Swamp,Robert Lawrence Stine,1993,4.0,33
Black Dogs,Ian McEwan,1992,4.0,12
The crossing,Cormac McCarthy,1994,5.0,6
Zero Day,David Baldacci,2011,4.0,36
Kinesen,Henning Mankell,2008,4.0,16
The Paradise War (The Song of Albion #1),Stephen R. Lawhead,1991,5.0,4
Devoted in Death,Nora Roberts,2015,5.0,89
Kristin Lavransdatter III,Sigrid Undset,1922,5.0,1
Phantom,Terry Goodkind,2006,5.0,12
Absolutely Normal Chaos,Sharon Creech,1990,4.0,5
Club dead,Charlaine Harris,2003,5.0,15
The Last Enchantment,Mary Stewart,1979,5.0,16
"Good Work, Secret Seven",Enid Blyton,1954,5.0,38
The General of the Dead Army,Ismail Kadare,1963,5.0,1
A Stranger at Green Knowe (Green Knowe Chronicles),Lucy M. Boston,1961,5.0,3
İnce Memed,Yaşar Kemal,1900,5.0,1
L'amore molesto,Elena Ferrante,1992,5.0,7
Animal Farm / Nineteen Eighty-Four,George Orwell,1978,5.0,10
"Go Ahead, Secret Seven",Enid Blyton,1953,5.0,38
Prowadź swój pług przez kości umarłych,Olga Tokarczuk,2009,4.0,2
"Ben, in the World",Doris Lessing,2000,5.0,8
Paddy Clarke Ha Ha Ha,Roddy Doyle,1984,4.0,3
Bend sinister,Vladimir Nabokov,1947,5.0,13
The midnight folk,John Masefield,1927,5.0,3
The Blunderer,Patricia Highsmith,1954,5.0,12
Adrian Mole,Sue Townsend,1999,5.0,3
Higglety pigglety pop!,Maurice Sendak,1920,5.0,7
Vittorio the Vampire,Anne Rice,1999,5.0,23
Secret for a Nightingale,Eleanor Alice Burford Hibbert,1986,4.0,7
Lullaby,Chuck Palahniuk,2002,5.0,7
Rurouni Kenshin,Nobuhiro Watsuki,1997,5.0,1
Charlie Cook's favourite book,Julia Donaldson,2005,4.0,14
The Wise Man’s Fear,Patrick Rothfuss,2011,5.0,2
Twilight's Child,V. C. Andrews,1991,5.0,25
"B is for Burglar (Kinsey Millhone, #2)",Sue Grafton,1982,4.0,7
Untouchable [by] Mulk Raj Anand,Mulk Raj Anand,1933,5.0,1
Magician,Raymond E. Feist,1982,4.0,8
The Orphan Master's Son,Adam Johnson,2012,5.0,1
The Navigator,Clive Cussler,2005,5.0,35
"Madam, Will You Talk?",Mary Stewart,1954,5.0,16
White Hot,Sandra Brown,2004,5.0,43
Lonesome Road,Patricia Wentworth,1939,4.0,6
True Grit,Charles Portis,1968,5.0,2
Even Cowgirls Get the Blues,Tom Robbins,1976,5.0,3
Motor Mouth,Janet Evanovich,2006,5.0,10
Nach Mitternacht,Irmgard Keun,1937,4.0,2
The Martian Way and Other Stories (Deep / Martian Way / Sucker Bait / Youth),Isaac Asimov,1955,4.0,25
Nothing like the sun,Anthony Burgess,1964,5.0,5
"Mr. Brown Can Moo, Can You? (Bright & Early Book)",Dr. Seuss,1970,5.0,16
Charade,Sandra Brown,1994,5.0,43
Krondor,Raymond E. Feist,2000,4.0,8
Monster,Walter Dean Myers,1999,5.0,1
Lost and found,Oliver Jeffers,2005,5.0,3
The Fix,David Baldacci,2017,5.0,36
The Saturdays,Elizabeth Enright,1923,5.0,5
Rosie's walk,Pat Hutchins,1967,4.0,1
The Memoirs of Cleopatra,Margaret George,1997,4.0,1
Brandvägg,Henning Mankell,1998,4.0,16
The return of Don Quixote,Gilbert Keith Chesterton,1927,4.0,15
The Dark Forest (The Three-Body Problem Series Book 2),刘慈欣,2008,5.0,4
Chainfire,Terry Goodkind,2005,5.0,12
Gentlehands,M. E. Kerr,1978,5.0,1
The Sea of Adventure,Enid Blyton,1948,5.0,38
Trout Fishing in America,Richard Brautigan,1967,4.0,1
Journey Under The Sea,R. A. Montgomery,1977,5.0,1
Knight's Gambit,William Faulkner,1919,4.0,12
Watchmen,Alan Moore,1987,4.38,4
Lonesome Traveler,Jack Kerouac,1960,4.0,10
The Berlin Stories,Christopher Isherwood,1935,4.0,5
Death's End (The Three-Body Problem Series Book 3),刘慈欣,2010,5.0,4
Stand on Zanzibar,John Brunner,1968,5.0,2
The Unconsoled,Kazuo Ishiguro,1988,5.0,8
The Lords of the North,Bernard Cornwell,2006,5.0,27
Maigret à New York,Georges Simenon,1947,5.0,45
La guinguette à deux sous,Georges Simenon,1931,4.0,45
Just one look,Harlan Coben,2001,5.0,16
Shadow of the Hegemon,Orson Scott Card,2001,5.0,16
Shaman,Noah Gordon,1992,5.0,4
Four Great Tragedies (Hamlet / King Lear / Macbeth / Othello),William Shakespeare,1924,4.0,41
Schatten im Paradies,Erich Maria Remarque,1971,5.0,11
Comment voyager avec un saumon,Umberto Eco,1992,4.0,8
Strip tease,Carl Hiaasen,1993,4.0,10
High Deryni,Katherine Kurtz,1973,5.0,4
"Here's to you, Rachel Robinson",Judy Blume,1993,5.0,17
L'Hai Voluta La Vacanza Stilton?,Elisabetta Dami,2000,5.0,33
Nine stories,J. D. Salinger,1953,5.0,4
The Moviegoer,Walker Percy,1961,5.0,1
The Deer Park,Norman Mailer,1955,4.0,3
The Postman,David Brin,1985,5.0,3
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996,3.86,1
The Day of the Jackal,Frederick Forsyth,1971,4.0,1
Lioness Rampant,Tamora Pierce,1988,4.0,9
Rubinrot,Kerstin Gier,2009,5.0,1
A Breath of Snow and Ashes,Diana Gabaldon,1992,5.0,3
The Silent Patient,Alex Michaelides,2018,4.17,1
Sharpe's Fury,Bernard Cornwell,2006,4.0,27
Going after Cacciato,Tim O'Brien,1975,5.0,2
Skeleton Key,Anthony Horowitz,1999,5.0,7
A New Lease of Death,Ruth Rendell,1967,4.0,18
The wasp factory,Iain Banks,1984,5.0,4
Noble House,James Clavell,1981,5.0,4
Then we came to the end,Joshua Ferris,2006,5.0,1
That Old Ace in the Hole,Annie Proulx,2002,5.0,6
Three Blind Mice and Other Stories [9 stories],Agatha Christie,1948,5.0,85
The War Of The Worlds/The Time Machine,H. G. Wells,1956,5.0,24
Honoured Enemy,Raymond E. Feist,2001,4.0,8
The Help,Kathryn Stockett,2009,4.46,1
Night school,Lee Child,2014,4.0,24
The Surgeon's Mate,Patrick O'Brian,1980,5.0,21
The Story of a Marriage,Andrew Sean Greer,2008,5.0,2
Deryni Checkmate,Katherine Kurtz,1972,5.0,4
Trojan Odysey,Clive Cussler,2003,4.0,35
Night Chills,Dean Koontz,1976,4.0,48
Rainbow six,Tom Clancy,1998,5.0,12
The 8th confession,James Patterson,1998,4.0,101
Worst Case,James Patterson,2010,5.0,101
Focus,Arthur Miller,1945,5.0,4
The unicorn; a novel,Iris Murdoch,1963,5.0,9
The dark frigate,Charles Boardman Hawes,1923,4.0,1
The Letter of Marque,Patrick O'Brian,1989,5.0,21
Homo Faber,Max Frisch,1957,5.0,2
Drôle de garçon,Shyam Selvadurai,1994,5.0,1
Ho kapetan Michalēs,Nikos Kazantzakis,1901,4.0,5
7th Heaven,James Patterson,1998,5.0,101
Demon Seed,Dean Koontz,1973,4.0,48
The Face of Fear,Dean Koontz,1977,4.0,48
Twilight Eyes,Dean Koontz,1985,5.0,48
The Door to December,Dean Koontz,1985,4.0,48
The Mask,Dean Koontz,1981,5.0,48
The cruel sea,Nicholas Monsarrat,1951,4.0,1
Polismördaren,Maj Sjöwall,1974,4.0,10
The Magic School Bus,Joanna Cole,1990,5.0,1
The Sheik,E. M. Hull,1919,5.0,1
Friday,Robert A. Heinlein,1982,5.0,28
Norse Mythology,Neil Gaiman,2016,5.0,15
My Name is Asher Lev,Chaim Potok,1972,5.0,2
Dragons of Winter Night,Margaret Weis,1985,4.0,8
Bridge of Clay,Markus Zusak,2018,5.0,3
Throne of Glass,Sarah J. Maas,2012,4.0,11
Towers of Midnight,Robert Jordan,2010,4.0,15
The Bridge in the Jungle,B. Traven,1929,5.0,3
Sleeping beauties,Stephen King,2014,4.0,70
"Lyle, Lyle, Crocodile",Bernard Waber,1965,4.0,2
The Prydain Chronicles Book 4,Lloyd Alexander,1900,5.0,5
Marina,Carlos Ruiz Zafón,2003,5.0,8
Little blue and little yellow,Leo Lionni,1959,4.0,8
The Serpent's Shadow,Rick Riordan,2012,5.0,18
Till We Have Faces,C.S. Lewis,1956,5.0,14
The Throne of Fire,Rick Riordan,2011,5.0,18
Esperanza Rising,Pam Muñoz Ryan,2000,4.0,1
Nate The Great (Nate The Great),Marjorie Weinman Sharmat,1972,5.0,2
The mists of Avalon,Marion Zimmer Bradley,1979,5.0,6
The Cry of the Owl,Patricia Highsmith,1962,4.0,12
A Court of Mist and Fury,Sarah J. Maas,2014,4.0,11
"Oh, the Places You'll Go!",Dr. Seuss,1990,5.0,16
The Hostile Hospital,Lemony Snicket,2001,5.0,14
The Carnivorous Carnival,Lemony Snicket,2002,5.0,14
Mrs. Piggle-Wiggle,Betty MacDonald,1947,5.0,1
Career of Evil,J. K. Rowling,2015,4.0,14
The Adventures of Jimmie Dale,Frank L. Packard,1917,5.0,1
The Stainless Steel Rat,Harry Harrison,1961,4.0,9
The Black Unicorn,Terry Brooks,1987,4.0,14
The Little Nugget,P. G. Wodehouse,1914,4.0,32
Jeeves and the Feudal Spirit,P. G. Wodehouse,1954,4.0,32
Lima's Red Hot Chilli,David Mills,1999,5.0,1
Le petit Nicolas et les copains,Jean-Jacques Sempé,1963,5.0,3
The pigman,Paul Zindel,1968,5.0,1
Madame Serpent,Victoria Holt,1951,5.0,23
More About Paddington CD,Michael Bond,1959,4.0,7
¿Quién mató a Palomino Molero?,Mario Vargas Llosa,1986,4.0,16
Normal People,Sally Rooney,2018,3.81,2
The Adventures of Robin Hood,Roger Lancelyn Green,1956,4.0,3
The Best of Me,Nicholas Sparks,2011,4.0,3
El prisionero del cielo,Carlos Ruiz Zafón,1991,4.0,8
A dog's journey,W. Bruce Cameron,2012,5.0,2
Diggers,Terry Pratchett,1990,5.0,54
End Game,David Baldacci,2017,5.0,36
Dancer from the Dance,Andrew Holleran,1978,5.0,1
Rant,Chuck Palahniuk,1998,5.0,7
Pattern Recognition,William Gibson,2002,4.0,8
A Column of Fire,Ken Follett,2017,5.0,20
The Commodore,Patrick O'Brian,1994,5.0,21
Rocket Ship Galileo,Robert A. Heinlein,1947,4.0,28
Bank Shot,Donald E. Westlake,1972,5.0,4
The Black Star Passes,John W. Campbell,1953,4.0,1
The Wishing Chair Again,Enid Blyton,1950,5.0,38
Sunrise,Karen Kingsbury,2002,5.0,6
The Runaway Tractor,Heather Amery,1989,5.0,1
Ricochet,Sandra Brown,2006,4.0,43
Conversazione in Sicilia,Elio Vittorini,1945,4.0,1
"Loves Enduring Promise (Love Comes Softly, Book 2)",Janette Oke,1979,4.0,4
Waiting for Anya,Michael Morpurgo,1990,4.0,7
Big Little Lies,Liane Moriarty,2014,4.31,2
Z for Zachariah,Robert C. O'Brien,1975,4.0,2
Across the river and into the trees,Ernest Hemingway,1950,4.0,13
Pilgrim,Timothy Findley,1999,4.0,3
