title,url,author,rating,rating_count,id
"The Hobbit, or There and Back Again",https://www.goodreads.com/book/show/5907.The_Hobbit_or_There_and_Back_Again,J.R.R. Tolkien,4.29,4269615,5907
The Red Tent,https://www.goodreads.com/book/show/4989.The_Red_Tent,Anita Diamant,4.2,617415,4989
"The Name of the Wind (The Kingkiller Chronicle, #1)",https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,Patrick Rothfuss,4.52,1029956,186074
The Metamorphosis,https://www.goodreads.com/book/show/485894.The_Metamorphosis,Franz Kafka,3.89,1278567,485894
The Master and Margarita,https://www.goodreads.com/book/show/117833.The_Master_and_Margarita,Mikhail Bulgakov,4.29,388532,117833
A Story of Yesterday,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday,Sergio Cobo,4.54,15026,58913358
The Count of Monte Cristo,https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo,Alexandre Dumas,4.31,967780,7126
Eragon (The Inheritance Cycle #1),https://www.goodreads.com/book/show/113436.Eragon,Christopher Paolini,3.96,1873408,113436
"The Last Olympian (Percy Jackson and the Olympians, #5)",https://www.goodreads.com/book/show/4556058-the-last-olympian,Rick Riordan,4.55,1090075,4556058
The Very Hungry Caterpillar,https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,Eric Carle,4.34,531302,4948
Looking for Alaska,https://www.goodreads.com/book/show/99561.Looking_for_Alaska,John Green,3.96,1690971,99561
Middlesex,https://www.goodreads.com/book/show/2187.Middlesex,Jeffrey Eugenides,4.04,652055,2187
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",https://www.goodreads.com/book/show/6310.Charlie_and_the_Chocolate_Factory,Roald Dahl,4.16,892084,6310
The Adventures of Tom Sawyer,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,Mark Twain,3.92,981454,24583
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,C.S. Lewis,4.24,2988505,100915
