title,url,id,author
Uncle Tom's Cabin,https://www.gutenberg.org/ebooks/203,203,Harriet Beecher Stowe
Siddhartha,https://www.gutenberg.org/ebooks/2500,2500,Hermann Hesse
David Copperfield,https://www.gutenberg.org/ebooks/766,766,Charles Dickens
Tess of the d'Urbervilles: A Pure Woman,https://www.gutenberg.org/ebooks/110,110,Thomas Hardy
Northanger Abbey,https://www.gutenberg.org/ebooks/121,121,Jane Austen
The Prince and the Pauper,https://www.gutenberg.org/ebooks/1837,1837,Mark Twain
The Tale of Peter Rabbit,https://www.gutenberg.org/ebooks/14838,14838,Beatrix Potter
Twenty Thousand Leagues under the Sea,https://www.gutenberg.org/ebooks/164,164,Jules Verne
Complete Original Short Stories of Guy De Maupassant,https://www.gutenberg.org/ebooks/3090,3090,Guy de Maupassant
2 B R 0 2 B,https://www.gutenberg.org/ebooks/21279,21279,Kurt Vonnegut
A Midsummer Night's Dream,https://www.gutenberg.org/ebooks/1514,1514,William Shakespeare
The Jungle Book,https://www.gutenberg.org/ebooks/236,236,Rudyard Kipling
The Red Badge of Courage: An Episode of the American Civil War,https://www.gutenberg.org/ebooks/73,73,Stephen Crane
Memoirs of Fanny Hill,https://www.gutenberg.org/ebooks/25305,25305,John Cleland
The Social Cancer: A Complete English Version of Noli Me Tangere,https://www.gutenberg.org/ebooks/6737,6737,José Rizal
"Hamlet, Prince of Denmark",https://www.gutenberg.org/ebooks/1524,1524,William Shakespeare
雲形紋章 (Japanese),https://www.gutenberg.org/ebooks/35018,35018,John Meade Falkner
The Invisible Man: A Grotesque Romance,https://www.gutenberg.org/ebooks/5230,5230,H. G. Wells
A Christmas Carol,https://www.gutenberg.org/ebooks/24022,24022,Charles Dickens
Three Men in a Boat (To Say Nothing of the Dog),https://www.gutenberg.org/ebooks/308,308,Jerome K. Jerome
The Sign of the Four,https://www.gutenberg.org/ebooks/2097,2097,Arthur Conan Doyle
Mansfield Park,https://www.gutenberg.org/ebooks/141,141,Jane Austen
The island of Doctor Moreau,https://www.gutenberg.org/ebooks/159,159,H. G. Wells
Notre-Dame de Paris - Tome 1 (French),https://www.gutenberg.org/ebooks/70891,70891,Victor Hugo
The Sea-Gull,https://www.gutenberg.org/ebooks/1754,1754,Anton Pavlovich Chekhov
The Iliad,https://www.gutenberg.org/ebooks/2199,2199,Homer
The Vampyre; a Tale,https://www.gutenberg.org/ebooks/6087,6087,John William Polidori
The Idiot,https://www.gutenberg.org/ebooks/2638,2638,Fyodor Dostoyevsky
Around the World in Eighty Days,https://www.gutenberg.org/ebooks/103,103,Jules Verne
White Fang,https://www.gutenberg.org/ebooks/910,910,Jack London
The Age of Innocence,https://www.gutenberg.org/ebooks/541,541,Edith Wharton
Baron Trump's Marvellous Underground Journey,https://www.gutenberg.org/ebooks/57426,57426,Ingersoll Lockwood
Mrs. Dalloway,https://www.gutenberg.org/ebooks/71865,71865,Virginia Woolf
"Bartleby, the Scrivener: A Story of Wall-Street",https://www.gutenberg.org/ebooks/11231,11231,Herman Melville
The Decameron of Giovanni Boccaccio,https://www.gutenberg.org/ebooks/23700,23700,Giovanni Boccaccio
Anthem,https://www.gutenberg.org/ebooks/1250,1250,Ayn Rand
Mosses from an old manse,https://www.gutenberg.org/ebooks/512,512,Nathaniel Hawthorne
An Occurrence at Owl Creek Bridge,https://www.gutenberg.org/ebooks/375,375,Ambrose Bierce
Bleak House,https://www.gutenberg.org/ebooks/1023,1023,Charles Dickens
The Lady with the Dog and Other Stories,https://www.gutenberg.org/ebooks/13415,13415,Anton Pavlovich Chekhov
The Tenniel Illustrations for Carroll's Alice in Wonderland,https://www.gutenberg.org/ebooks/114,114,John Tenniel
Just so stories,https://www.gutenberg.org/ebooks/2781,2781,Rudyard Kipling
The Works of Edgar Allan Poe — Volume 1,https://www.gutenberg.org/ebooks/2147,2147,Edgar Allan Poe
"Othello, the Moor of Venice",https://www.gutenberg.org/ebooks/1531,1531,William Shakespeare
The Duchess of Malfi,https://www.gutenberg.org/ebooks/2232,2232,John Webster
The Spy,https://www.gutenberg.org/ebooks/26272,26272,James Fenimore Cooper
The Secret Garden,https://www.gutenberg.org/ebooks/113,113,Frances Hodgson Burnett
Die Verwandlung (German),https://www.gutenberg.org/ebooks/22367,22367,Franz Kafka
Project Gutenberg Compilation of Short Stories by Chekhov,https://www.gutenberg.org/ebooks/57333,57333,Anton Pavlovich Chekhov
Cyrano de Bergerac,https://www.gutenberg.org/ebooks/1254,1254,Edmond Rostand
R.U.R. (Rossum's Universal Robots),https://www.gutenberg.org/ebooks/59112,59112,Karel Čapek
The Trial,https://www.gutenberg.org/ebooks/7849,7849,Franz Kafka
"The Happy Prince, and Other Tales",https://www.gutenberg.org/ebooks/902,902,Oscar Wilde
A Connecticut Yankee in King Arthur's Court,https://www.gutenberg.org/ebooks/19506,19506,Mark Twain
Julius Caesar,https://www.gutenberg.org/ebooks/1522,1522,William Shakespeare
The Grand Inquisitor,https://www.gutenberg.org/ebooks/8578,8578,Fyodor Dostoyevsky
"Le comte de Monte-Cristo, Tome I (French)",https://www.gutenberg.org/ebooks/17989,17989,Alexandre Dumas and Auguste Maquet
The Castle of Otranto,https://www.gutenberg.org/ebooks/696,696,Horace Walpole
A Journey to the Centre of the Earth,https://www.gutenberg.org/ebooks/18857,18857,Jules Verne
"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy",https://www.gutenberg.org/ebooks/383,383,Oliver Goldsmith
The three musketeers,https://www.gutenberg.org/ebooks/1257,1257,Alexandre Dumas and Auguste Maquet
Notre-Dame de Paris,https://www.gutenberg.org/ebooks/2610,2610,Victor Hugo
"The History of Don Quixote, Volume 1, Complete",https://www.gutenberg.org/ebooks/5921,5921,Miguel de Cervantes Saavedra
Swann's Way,https://www.gutenberg.org/ebooks/7178,7178,Marcel Proust
We,https://www.gutenberg.org/ebooks/61963,61963,Evgenii Ivanovich Zamiatin
The Mysterious Affair at Styles,https://www.gutenberg.org/ebooks/863,863,Agatha Christie
The Eyes Have It,https://www.gutenberg.org/ebooks/31516,31516,Philip K. Dick
The Picture of Dorian Gray,https://www.gutenberg.org/ebooks/4078,4078,Oscar Wilde
The Pickwick Papers,https://www.gutenberg.org/ebooks/580,580,Charles Dickens
The Wind in the Willows,https://www.gutenberg.org/ebooks/289,289,Kenneth Grahame
Medea of Euripides,https://www.gutenberg.org/ebooks/35451,35451,Euripides
North and South,https://www.gutenberg.org/ebooks/4276,4276,Elizabeth Cleghorn Gaskell
苦悶の欄 (Japanese),https://www.gutenberg.org/ebooks/39287,39287,Earl Derr Biggers
Herland,https://www.gutenberg.org/ebooks/32,32,Charlotte Perkins Gilman
The Phantom of the Opera,https://www.gutenberg.org/ebooks/175,175,Gaston Leroux
Little Brother,https://www.gutenberg.org/ebooks/30142,30142,Cory Doctorow
"The possessed :  or, The devils",https://www.gutenberg.org/ebooks/8117,8117,Fyodor Dostoyevsky
A passage to India,https://www.gutenberg.org/ebooks/61221,61221,E. M. Forster
The Sun Also Rises,https://www.gutenberg.org/ebooks/67138,67138,Ernest Hemingway
Les trois mousquetaires (French),https://www.gutenberg.org/ebooks/13951,13951,Alexandre Dumas and Auguste Maquet
Black Beauty,https://www.gutenberg.org/ebooks/271,271,Anna Sewell
The Merchant of Venice,https://www.gutenberg.org/ebooks/1515,1515,William Shakespeare
Gargantua and Pantagruel,https://www.gutenberg.org/ebooks/1200,1200,François Rabelais
The Lady of the Lake,https://www.gutenberg.org/ebooks/3011,3011,Walter Scott
Daisy Miller: A Study,https://www.gutenberg.org/ebooks/208,208,Henry James
A Connecticut Yankee in King Arthur's Court,https://www.gutenberg.org/ebooks/86,86,Mark Twain
紅樓夢 (Chinese),https://www.gutenberg.org/ebooks/24264,24264,Xueqin Cao
"The Works of Edgar Allan Poe, The Raven Edition",https://www.gutenberg.org/ebooks/25525,25525,Edgar Allan Poe
"Twelfth Night; Or, What You Will",https://www.gutenberg.org/ebooks/1526,1526,William Shakespeare
A Little Princess,https://www.gutenberg.org/ebooks/146,146,Frances Hodgson Burnett
The Satyricon — Complete,https://www.gutenberg.org/ebooks/5225,5225,Petronius Arbiter
The Memoirs of Sherlock Holmes,https://www.gutenberg.org/ebooks/834,834,Arthur Conan Doyle
The Return of Sherlock Holmes,https://www.gutenberg.org/ebooks/108,108,Arthur Conan Doyle
"The Garden Party, and Other Stories",https://www.gutenberg.org/ebooks/1429,1429,Katherine Mansfield
The Open Boat and Other Stories,https://www.gutenberg.org/ebooks/45524,45524,Stephen Crane
Vanity Fair,https://www.gutenberg.org/ebooks/599,599,William Makepeace Thackeray
Anne of the Island,https://www.gutenberg.org/ebooks/51,51,L. M. Montgomery
The Gift of the Magi,https://www.gutenberg.org/ebooks/7256,7256,O. Henry
The Strange Case of Dr. Jekyll and Mr. Hyde,https://www.gutenberg.org/ebooks/42,42,Robert Louis Stevenson
A Journal of the Plague Year,https://www.gutenberg.org/ebooks/376,376,Daniel Defoe
Der Struwwelpeter (German),https://www.gutenberg.org/ebooks/24571,24571,Heinrich Hoffmann
Salomé: A Tragedy in One Act,https://www.gutenberg.org/ebooks/42704,42704,Oscar Wilde
A Journey to the Center of the Earth,https://www.gutenberg.org/ebooks/19513,19513,Jules Verne
Pride and Prejudice,https://www.gutenberg.org/ebooks/42671,42671,Jane Austen
The Moonstone,https://www.gutenberg.org/ebooks/155,155,Wilkie Collins
The Fall of the House of Usher,https://www.gutenberg.org/ebooks/932,932,Edgar Allan Poe
"The Life and Opinions of Tristram Shandy, Gentleman",https://www.gutenberg.org/ebooks/1079,1079,Laurence Sterne
Ghosts,https://www.gutenberg.org/ebooks/8121,8121,Henrik Ibsen
Trois femmes (French),https://www.gutenberg.org/ebooks/70954,70954,Pierre Mille
The House of Mirth,https://www.gutenberg.org/ebooks/284,284,Edith Wharton
The Portrait of a Lady — Volume 1,https://www.gutenberg.org/ebooks/2833,2833,Henry James
A Pail of Air,https://www.gutenberg.org/ebooks/51461,51461,Fritz Leiber
The Woman in White,https://www.gutenberg.org/ebooks/583,583,Wilkie Collins
All quiet on the Western Front,https://www.gutenberg.org/ebooks/75011,75011,Erich Maria Remarque
Much Ado about Nothing,https://www.gutenberg.org/ebooks/1519,1519,William Shakespeare
Pride and Prejudice,https://www.gutenberg.org/ebooks/26301,26301,Jane Austen
Ivanhoe: A Romance,https://www.gutenberg.org/ebooks/82,82,Walter Scott
Lady Audley's Secret,https://www.gutenberg.org/ebooks/8954,8954,M. E. Braddon
The Alchemist,https://www.gutenberg.org/ebooks/4081,4081,Ben Jonson
The Adventures of Pinocchio,https://www.gutenberg.org/ebooks/500,500,Carlo Collodi
Dead Souls,https://www.gutenberg.org/ebooks/1081,1081,Nikolai Vasilevich Gogol
The Merry Adventures of Robin Hood,https://www.gutenberg.org/ebooks/10148,10148,Howard Pyle
Lady Chatterley's lover,https://www.gutenberg.org/ebooks/73144,73144,D. H. Lawrence
Sister Carrie: A Novel,https://www.gutenberg.org/ebooks/233,233,Theodore Dreiser
Anne of Avonlea,https://www.gutenberg.org/ebooks/47,47,L. M. Montgomery
Madame Bovary (French),https://www.gutenberg.org/ebooks/14155,14155,Gustave Flaubert
Alice's Adventures in Wonderland,https://www.gutenberg.org/ebooks/19033,19033,Lewis Carroll
An Enemy of the People,https://www.gutenberg.org/ebooks/2446,2446,Henrik Ibsen
Silas Marner,https://www.gutenberg.org/ebooks/550,550,George Eliot
Barchester Towers,https://www.gutenberg.org/ebooks/28811,28811,Anthony Trollope
This Side of Paradise,https://www.gutenberg.org/ebooks/805,805,F. Scott Fitzgerald
The Adventures of Pinocchio,https://www.gutenberg.org/ebooks/19516,19516,Carlo Collodi
Best Russian Short Stories,https://www.gutenberg.org/ebooks/13437,13437,
Peter and Wendy,https://www.gutenberg.org/ebooks/26654,26654,J. M. Barrie
"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",https://www.gutenberg.org/ebooks/50742,50742,
Lady Windermere's Fan,https://www.gutenberg.org/ebooks/790,790,Oscar Wilde
Twenty Thousand Leagues Under the Sea,https://www.gutenberg.org/ebooks/20000,20000,Jules Verne
The Pilgrim's Progress from this world to that which is to come,https://www.gutenberg.org/ebooks/131,131,John Bunyan
Adventures of Sherlock Holmes,https://www.gutenberg.org/ebooks/48320,48320,Arthur Conan Doyle
海公案 (Chinese),https://www.gutenberg.org/ebooks/54494,54494,Anonymous
"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar",https://www.gutenberg.org/ebooks/6133,6133,Maurice Leblanc
The Masque of the Red Death,https://www.gutenberg.org/ebooks/1064,1064,Edgar Allan Poe
"1900; or, The last President",https://www.gutenberg.org/ebooks/60479,60479,Ingersoll Lockwood
